# v1 cointegration corpus retired 2026-05-30
# 398 rows from cointegration_sheet tagged methodology_version=v1_raw_adf
# columns: run_id | directive_id | pair_a | pair_b | is_current | completed_at_utc
#
26e3ff92dac9624f30ebc66c | 90_PORT_EURGBPGBPNZD_15M_COINTREV_V3_L30__E003 | EURGBP | GBPNZD | 0 | 2026-05-28T11:05:14Z
caa515a3057756838a45f1e9 | 90_PORT_EURJPYUK100_15M_COINTREV_V3_L30__E003 | EURJPY | UK100 | 0 | 2026-05-28T11:05:33Z
b4438ec31d1b107ece00fba4 | 90_PORT_GBPAUDGBPNZD_15M_COINTREV_V3_L30__E003 | GBPAUD | GBPNZD | 0 | 2026-05-28T11:05:43Z
e48e446e11d04fa1e7f3eefd | 90_PORT_GBPAUDUK100_15M_COINTREV_V3_L30__E003 | GBPAUD | UK100 | 0 | 2026-05-28T11:06:02Z
52f139b8db040af56a66b569 | 90_PORT_GBPJPYUK100_15M_COINTREV_V3_L30__E003 | GBPJPY | UK100 | 0 | 2026-05-28T11:06:21Z
cc2e8b3c61492929327eec3b | 90_PORT_GBPNZDUK100_15M_COINTREV_V3_L30__E003 | GBPNZD | UK100 | 0 | 2026-05-28T11:06:39Z
11205e5a0b5a17c80b6794e6 | 90_PORT_JPN225UK100_15M_COINTREV_V3_L30__E003 | JPN225 | UK100 | 0 | 2026-05-28T11:07:12Z
a3861703450576ab6d89e762 | 90_PORT_NAS100NZDJPY_15M_COINTREV_V3_L30__E003 | NAS100 | NZDJPY | 0 | 2026-05-28T11:07:37Z
ec10bad023416177a86e6d17 | 90_PORT_NAS100UK100_15M_COINTREV_V3_L30__E003 | NAS100 | UK100 | 0 | 2026-05-28T11:08:05Z
ed27bd9048b46d93221618ac | 90_PORT_NZDJPYUK100_15M_COINTREV_V3_L30__E003 | NZDJPY | UK100 | 0 | 2026-05-28T11:08:23Z
d20778e03cff7408f6553032 | 90_PORT_NZDUSDUK100_15M_COINTREV_V3_L30__E003 | NZDUSD | UK100 | 0 | 2026-05-28T11:08:43Z
09cbc73cdf7df0c56ebd8659 | 90_PORT_SPX500UK100_15M_COINTREV_V3_L30__E003 | SPX500 | UK100 | 0 | 2026-05-28T11:09:14Z
ff5fab95e52714674115e064 | 90_PORT_AUDNZDXAUUSD_15M_COINTREV_V3_L30__E005 | AUDNZD | XAUUSD | 0 | 2026-05-28T11:19:42Z
df7be2668847deb9d930ba47 | 90_PORT_AUS200XAUUSD_15M_COINTREV_V3_L30__E004 | AUS200 | XAUUSD | 0 | 2026-05-28T11:19:59Z
d49efa0e2c70d19b1663fe0f | 90_PORT_BTCUSDESP35_15M_COINTREV_V3_L30__E005 | BTCUSD | ESP35 | 0 | 2026-05-28T11:20:08Z
22b7d5d1da708094d4a27e9c | 90_PORT_BTCUSDJPN225_15M_COINTREV_V3_L30__E004 | BTCUSD | JPN225 | 0 | 2026-05-28T11:20:35Z
5c19473b9005c63b6486ab0a | 90_PORT_BTCUSDUSDCAD_15M_COINTREV_V3_L30__E004 | BTCUSD | USDCAD | 0 | 2026-05-28T11:21:01Z
0624d5994e3d6091bb1941e4 | 90_PORT_BTCUSDXAUUSD_15M_COINTREV_V3_L30__E005 | BTCUSD | XAUUSD | 0 | 2026-05-28T11:21:32Z
d9c624c9b916e7e922661f64 | 90_PORT_ESP35XAUUSD_15M_COINTREV_V3_L30__E005 | ESP35 | XAUUSD | 0 | 2026-05-28T11:21:40Z
